Alignment,Filter,Genome,Method,Param1,Param2,Param3,Param4
bowtie2simple,trim_end30_25,Bdolosa,bowtie2paired,n,n,n,n
bowtie2simple_nofilter,nofilter,Bdolosa,bowtie2paired,,,,
bowtie2simple_bfilter,nofilter,Bdolosa,bowtie2pairedfilter,,,,
bowtie2largerinsert,nofilter,Bdolosa,bowtie2pairedxt,,,,
bowtie2unpaired,nofilter,Bdolosa,bowtie2xtunpaired,,,,
bowtie2,sicklejustNs,Bdolosa,bowtie2,,,,
bowtie2filterbefore,sickle2050,Bdolosa,bowtie2pairedxt,,,,
bowtie2filterbeforeunpaired,sickle2050,Bdolosa,bowtie2xtunpaired,,,,
singleend,sickle2050,Mtuberculosis,bowtie2pairedxt,,,,
pairedendtb,sickle2050,Mtuberculosis,bowtie2pairedxt,,,,
