Batch,Lane,Barcode,Sample,Alignments,ProviderName
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N01_S01,pairedendtb,N01_S01
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N01_S03,pairedendtb,N01_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N01_S04,pairedendtb,N01_S04
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N01_S06,pairedendtb,N01_S06
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N01_S07,pairedendtb,N01_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N01_S08,pairedendtb,N01_S08
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N01_S09,pairedendtb,N01_S09
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N01_S10,pairedendtb,N01_S10
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N01_S11,pairedendtb,N01_S11
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N02_S01,pairedendtb,N02_S01
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N02_S02,pairedendtb,N02_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N02_S03,pairedendtb,N02_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N02_S05,pairedendtb,N02_S05
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N02_S06,pairedendtb,N02_S06
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N02_S07,pairedendtb,N02_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N02_S08,pairedendtb,N02_S08
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N02_S09,pairedendtb,N02_S09
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N02_S10,pairedendtb,N02_S10
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N02_S11,pairedendtb,N02_S11
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S01,pairedendtb,N03_S01
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S02,pairedendtb,N03_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S03,pairedendtb,N03_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S04,pairedendtb,N03_S04
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S05,pairedendtb,N03_S05
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S06,pairedendtb,N03_S06
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S07,pairedendtb,N03_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S08,pairedendtb,N03_S08
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S09,pairedendtb,N03_S09
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S10,pairedendtb,N03_S10
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S11,pairedendtb,N03_S11
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N03_S12,pairedendtb,N03_S12
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S01,pairedendtb,N04_S01
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S02,pairedendtb,N04_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S03,pairedendtb,N04_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S04,pairedendtb,N04_S04
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S05,pairedendtb,N04_S05
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S06,pairedendtb,N04_S06
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S07,pairedendtb,N04_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S09,pairedendtb,N04_S09
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S10,pairedendtb,N04_S10
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S11,pairedendtb,N04_S11
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N04_S12,pairedendtb,N04_S12
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N05_S01,pairedendtb,N05_S01
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N05_S02,pairedendtb,N05_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N05_S03,pairedendtb,N05_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N05_S05,pairedendtb,N05_S05
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N05_S07,pairedendtb,N05_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N05_S08,pairedendtb,N05_S08
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N06_S01,pairedendtb,N06_S01
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N06_S02,pairedendtb,N06_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N06_S03,pairedendtb,N06_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N06_S04,pairedendtb,N06_S04
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N06_S05,pairedendtb,N06_S05
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N06_S06,pairedendtb,N06_S06
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N06_S07,pairedendtb,N06_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N06_S08,pairedendtb,N06_S08
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N07_S02,pairedendtb,N07_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N07_S03,pairedendtb,N07_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N07_S04,pairedendtb,N07_S04
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N07_S05,pairedendtb,N07_S05
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N07_S06,pairedendtb,N07_S06
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N07_S07,pairedendtb,N07_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N07_S08,pairedendtb,N07_S08
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N08_S02,pairedendtb,N08_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N08_S03,pairedendtb,N08_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N08_S04,pairedendtb,N08_S04
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N08_S05,pairedendtb,N08_S05
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N08_S06,pairedendtb,N08_S06
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N08_S07,pairedendtb,N08_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N08_S08,pairedendtb,N08_S08
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N09_S01,pairedendtb,N09_S01
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N09_S02,pairedendtb,N09_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N09_S03,pairedendtb,N09_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N09_S04,pairedendtb,N09_S04
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N09_S05,pairedendtb,N09_S05
